!`  ¡    \~y   ỹ    \lneq   ≨    \~\"{O}                                     Ṏ
\DH Ð    \Join ⋈    \.\={A} Ǡ    \Updownarrow                                ⇕
\Dd ⅅ    \Khei Ϧ    \.\={O} Ȱ    \backepsilon                                ∍
\HO Ő    \Shei Ϣ    \.\={a} ǡ    \blacksmiley                                ☻
\HU Ű    \U{o} ő    \.\={o} ȱ    \blacksquare                                ▪
\Ho ő    \Vert ‖    \=\"{U} Ṻ    \circledcirc                                ⊚
\Hu ű    \Zeta Ζ    \=\"{u} ṻ    \circleddash                                ⊝
\Im ℑ    \^\'A Ấ    \=\'{E} Ḗ    \curlyeqprec                                ⋞
\Ll ⋘    \^\'E Ế    \=\'{O} Ṓ    \curlyeqsucc                                ⋟
\Mu Μ    \^\'O Ố    \=\'{e} ḗ    \curlypreceq                                ≼
\Nu Ν    \^\'a ấ    \=\'{o} ṓ    \diamondsuit                                ♢
\OE Œ    \^\'e ế    \=\`{E} Ḕ    \eqslantless                                ⋜
\Pi Π    \^\'o ố    \=\`{O} Ṑ    \nRightarrow                                ⇏
\Re ℜ    \^\`A Ầ    \=\`{e} ḕ    \nrightarrow                                ↛
\TH Þ    \^\`E Ề    \=\`{o} ṑ    \ordfeminine                                ª
\Uo ő    \^\`O Ồ    \={\AE} Ǣ    \partnership                                ㉐
\Xi Ξ    \^\`a ầ    \={\ae} ǣ    \precnapprox                                ⋨
\^A Â    \^\`e ề    \Bbb{1} 𝟙    \radioactive                                ☢
\^C Ĉ    \^\`o ồ    \Bbb{2} 𝟚    \straightphi                                φ
\^E Ê    \^\~A Ẫ    \Bbb{A} 𝔸    \succcurlyeq                                ≽
\^G Ĝ    \^\~E Ễ    \Bbb{B} 𝔹    \succnapprox                                ⋩
\^H Ĥ    \^\~O Ỗ    \Bbb{C} ℂ    \thickapprox                                ≈
\^I Î    \^\~a ẫ    \Bbb{D} 𝔻    \uncertainty                                ⯑
\^J Ĵ    \^\~e ễ    \Bbb{E} 𝔼    \updownarrow                                ↕
\^O Ô    \^\~o ỗ    \Bbb{F} 𝔽    ^\Reversed E                                ᴲ
\^S Ŝ    \^{A} Â    \Bbb{G} 𝔾    ^\Reversed N                                ᴻ
\^U Û    \^{C} Ĉ    \Bbb{H} ℍ    ^\capital aa                                𐞀
\^W Ŵ    \^{E} Ê    \Bbb{I} 𝕀    ^\capital oe                                𐞣
\^Y Ŷ    \^{G} Ĝ    \Bbb{J} 𝕁    ^\dz digraph                                𐞇
\^Z Ẑ    \^{H} Ĥ    \Bbb{K} 𝕂    ^\ls digraph                                𐞙
\^a â    \^{I} Î    \Bbb{L} 𝕃    ^\lz digraph                                𐞚
\^c ĉ    \^{J} Ĵ    \Bbb{M} 𝕄    ^\reversed e                                𐞎
\^e ê    \^{O} Ô    \Bbb{N} ℕ    ^\sideways u                                ᵙ
\^g ĝ    \^{S} Ŝ    \Bbb{O} 𝕆    ^\top half o                                ᵔ
\^h ĥ    \^{U} Û    \Bbb{P} ℙ    ^\ts digraph                                𐞬
\^i î    \^{W} Ŵ    \Bbb{Q} ℚ    \blacklozenge                               ✦
\^j ĵ    \^{Y} Ŷ    \Bbb{R} ℝ    \construction                               🚧
\^o ô    \^{Z} Ẑ    \Bbb{S} 𝕊    \ordmasculine                               º
\^s ŝ    \^{a} â    \Bbb{T} 𝕋    \risingdotseq                               ≓
\^u û    \^{c} ĉ    \Bbb{U} 𝕌    \textcircledP                               ℗
\^w ŵ    \^{e} ê    \Bbb{V} 𝕍    \textdiscount                               ⁒
\^y ŷ    \^{g} ĝ    \Bbb{W} 𝕎    \triangledown                               ▿
\^z ẑ    \^{h} ĥ    \Bbb{X} 𝕏    \triangleleft                               ◃
\`A À    \^{i} î    \Bbb{Y} 𝕐    ^\b with hook                               𐞅
\`E È    \^{j} ĵ    \Bbb{Z} ℤ    ^\c with curl                               ᶝ
\`I Ì    \^{o} ô    \Bumpeq ≎    ^\d with hook                               𐞌
\`N Ǹ    \^{s} ŝ    \Frowny ☹    ^\d with tail                               𐞋
\`O Ò    \^{u} û    \Gangia Ϫ    ^\g with hook                               𐞓
\`U Ù    \^{w} ŵ    \Lambda Λ    ^\greek gamma                               ᵞ
\`W Ẁ    \^{y} ŷ    \Letter ✉    ^\h with hook                               ʱ
\`Y Ỳ    \^{z} ẑ    \Smiley ☺    ^\l with belt                               𐞛
\`a à    \`{A} À    \Stigma Ϛ    ^\ligature oe                               ꟹ
\`e è    \`{E} È    \Subset ⋐    ^\m with hook                               ᶬ
\`i ì    \`{I} Ì    \Supset ⋑    ^\r with tail                               𐞨
\`n ǹ    \`{N} Ǹ    \Vvdash ⊪    ^\s with curl                               𐞺
\`o ò    \`{O} Ò    \^\'{A} Ấ    ^\s with hook                               ᶳ
\`u ù    \`{U} Ù    \^\'{E} Ế    ^\v with hook                               ᶹ
\`w ẁ    \`{W} Ẁ    \^\'{O} Ố    ^\z with curl                               ᶽ
\`y ỳ    \`{Y} Ỳ    \^\'{a} ấ    \Longleftarrow                              ⇐
\aa å    \`{a} à    \^\'{e} ế    \bigtriangleup                              △
\ae æ    \`{e} è    \^\'{o} ố    \blacktriangle                              ▴
